Entry Time,Exit Time,Type,Entry Price,Exit Price,P&L %,P&L Amount,Exit Reason,Duration,Quantity
2024-01-10 18:00:00,2024-01-11 15:00:00,LONG,46527.33,46783.78,0.5511814239071898,0,Trailing Stop,21,0.0
2024-01-11 15:00:00,2024-01-12 15:00:00,LONG,46783.78,44462.01,-4.962767010275777,0,Stop Loss,24,0.0
2024-01-14 20:00:00,2024-01-16 15:00:00,SHORT,42507.92,43252.67,-1.7520264458952592,0,Stop Loss,43,0.0
2024-01-17 15:00:00,2024-01-19 17:00:00,SHORT,42482.79,41239.57,2.926408552733945,0,Trailing Stop,50,0.0
2024-01-22 05:00:00,2024-01-23 09:00:00,SHORT,41138.46,38961.39,5.292055171729811,0,Take Profit 2,28,0.0
2024-01-24 18:00:00,2024-01-26 11:00:00,SHORT,39761.11,41289.52,-3.843982222830289,0,Stop Loss,41,0.0
2024-01-27 23:00:00,2024-01-30 01:00:00,LONG,42120.63,43439.51,3.1311972304308004,0,Take Profit 2,50,0.0
2024-01-30 01:00:00,2024-01-31 10:00:00,LONG,43439.51,42384.73,-2.428158144509454,0,Stop Loss,33,0.0
2024-01-31 15:00:00,2024-02-01 01:00:00,LONG,43361.1,41983.54,-3.176948924266215,0,Stop Loss,10,0.0
2024-02-02 00:00:00,2024-02-08 17:00:00,LONG,43174.41,45042.53,4.32691494799812,0,Trailing Stop,161,0.0
2024-02-09 14:00:00,2024-02-12 04:00:00,LONG,47062.01,48070.0,2.1418337210841565,0,Trailing Stop,62,0.0
2024-02-12 05:00:00,2024-02-13 13:00:00,LONG,48073.18,49528.06,3.0263860223101475,0,Trailing Stop,32,0.0
2024-02-13 13:00:00,2024-02-13 16:00:00,LONG,49528.06,48477.07,-2.1220092206316945,0,Stop Loss,3,0.0
2024-02-13 18:00:00,2024-02-15 07:00:00,LONG,49107.84,51776.61,5.434509031551793,0,Trailing Stop,37,0.0
2024-02-15 08:00:00,2024-02-23 23:00:00,LONG,51934.01,50744.15,-2.291099801459584,0,Stop Loss,207,0.0
2024-02-25 02:00:00,2024-02-26 09:00:00,LONG,51602.05,50949.99,-1.2636319681098036,0,Stop Loss,31,0.0
2024-02-28 18:00:00,2024-02-29 17:00:00,LONG,61101.99,60982.35,-0.1958037700572427,0,Trailing Stop,23,0.0
2024-03-03 17:00:00,2024-03-04 14:00:00,LONG,62570.01,66169.41,5.752596171872118,0,Take Profit 2,21,0.0
2024-03-04 15:00:00,2024-03-05 05:00:00,LONG,66451.65,66961.09,0.766632581734242,0,Trailing Stop,14,0.0
